device_id    expected_vendor                               inferred_vendor                         dns_number    is_correct
-----------  --------------------------------------------  ------------------------------------  ------------  ------------
s833c1d822f  vmware                                                                                         0             0
s65d1f583ab  netgear                                                                                        0             0
s8473f9accf  dauha                                                                                          0             0
sb58659b3a1  tp-link                                                                                        0             0
se8c6885de7  cisco                                                                                          0             0
s372d32c353  apple                                                                                          0             0
s0fe1c54332  hikvision                                                                                      0             0
sc258405904  dauha                                                                                          0             0
s5ef7886e93  apple                                                                                          0             0
s8157f36b7e  tp-link                                                                                        0             0
sd21752391f  tplink                                                                                         0             0
sf76450d1fb  apple                                                                                          0             0
s3b1a4d8b2e  tplink                                                                                         0             0
sb7b6bb039a  apple                                                                                          0             0
s77589134bc  bowers and wilkins                                                                             0             0
s7e4a1870d2  pioneer                                                                                        0             0
sa0f2bf9ea9  apple                                                                                          0             0
sb441405777  apple                                                                                          0             0
s306ee2590c  bowers and wilkins                                                                             0             0
sfb0ff1d1ec  denon                                                                                          0             0
scd23aea7c1  nest                                                                                           0             0
sa44bfb0de0  sony                                                                                           1             0
sb8bda37704  ring                                                                                           0             0
s8569bdb34d  nintendo                                                                                       0             0
s0a9710f98f  avm                                                                                            0             0
s45f334ac8a  sky                                                                                            0             0
sfdfb4a225b  samsung                                                                                        0             0
se1af9957f2  google                                        google                                          44             1
s5fc4d59bbf  tcl                                                                                            0             0
seb9b02228a  tcl                                                                                            0             0
sd9137cfd78  avm                                                                                            0             0
s6ecccfa674  apple                                                                                          0             0
sb3d17b0f60  brother                                                                                        0             0
s782f2f5594  apple                                                                                          0             0
sca673b463a  cisco                                                                                          0             0
s470e1996f4  kuman                                                                                          0             0
s756069b565  enerwave                                                                                       0             0
sbab962cabf  kuman                                                                                          0             0
sc203051aec  netgear                                                                                        0             0
s0e53bb1e7e  apple                                                                                          0             0
s938f803513  apple                                                                                          0             0
s90965630c4  apple                                                                                          0             0
sd908f6dc75  apple                                                                                          0             0
sf7947b2406  apple                                                                                          0             0
s2c9fde6219  apple                                                                                          0             0
s466cd12561  apple                                                                                          0             0
s7ccbba7065  apple                                                                                          0             0
sc3450de6dc  hewlett packard                                                                                0             0
sac9d6fd7ea  sony                                                                                           0             0
s14f40e8818  dreamscreen                                                                                    0             0
s424e02bc5c  raspberrypi                                                                                    0             0
s7e23963f8b  apple                                                                                          0             0
s13ed06ab35  brother                                                                                        0             0
sdec93f9467  nest                                                                                           0             0
sc3008b55c0  synology                                                                                       0             0
sfb4a621963  apple                                                                                          0             0
s0c3f4e4dea  vizio                                                                                          0             0
sf5ae9f5a5c  ecobee                                                                                         0             0
s51ab79bcba  cisco                                                                                          0             0
