device_id    expected_vendor                               inferred_vendor          device_oui                                                         is_correct
sbb9908d24b  sonos                                         sonos                    Sonos, Inc.                                                                 1
s4733fdacac  sonos                                         sonos                    Sonos, Inc.                                                                 1
s0f7f575d16  sony                                          sony                     Sony Interactive Entertainment Inc.                                         1
sa32529dac8  koogeek                                       koogeek                  China Dragon Technology Limited                                             1
sda70be8d95  apple                                         apple                    Apple, Inc.                                                                 1
s936dbca4cf  espressif                                     sonoff                   Espressif Inc.                                                              0
s0b0dafcf14  brother                                       brother                  Silex Technology, Inc.                                                      1
sa6aaf32520  avm                                           avm                      AVM GmbH                                                                    1
s7de3747246  apc                                           apc                      AMERICAN POWER CONVERSION CORP                                              1
s7dea9d80d6  apple                                         apple                    Apple, Inc.                                                                 1
saf98ee5e2b  radio thermostat                              ikea                     Murata Manufacturing Co., Ltd.                                              0
s1d72e80d32  apc                                           apc                      AMERICAN POWER CONVERSION CORP                                              1
see09544f52  apc                                           apc                      AMERICAN POWER CONVERSION CORP                                              1
s694178b11f  netgear                                       netgear                  NETGEAR                                                                     1
s88c92ffe5b  apc                                           apc                      AMERICAN POWER CONVERSION CORP                                              1
sebad27b8c1  netgear                                       netgear                  NETGEAR                                                                     1
sc0b778fe8a  apple                                         apple                    Apple, Inc.                                                                 1
s2175cba0f7  radio thermostat                              ikea                     Murata Manufacturing Co., Ltd.                                              0
s982b21c7fa  netgear                                       netgear                  NETGEAR                                                                     1
s5dffd5072e  apple                                         apple                    Apple, Inc.                                                                 1
s457983cdbc  dell                                          dell                     FUJI-XEROX CO. LTD.                                                         1
s2dcbf7b146  dell                                          dell                     FUJI-XEROX CO. LTD.                                                         1
s659092e591  xerox                                         google                   XEROX CORPORATION                                                           0
s6be9de9c1a  apple                                         netgear                  NETGEAR                                                                     0
s9856bc6462  apple                                         apple                    Apple, Inc.                                                                 1
scecd4ffd88  canon                                         canon                    CANON INC.                                                                  1
s2f59bb19d0  lenovo                                        apple                    Apple, Inc.                                                                 0
sce9943c277  dell                                          dell                     Dell Inc.                                                                   1
s9dea8cf9df  apple                                         apple                    Apple, Inc.                                                                 1
s95c41d2df6  apc                                           apc                      AMERICAN POWER CONVERSION CORP                                              1
sbe56fdb506  lenovo                                        ring                     Universal Global Scientific Industrial Co., Ltd.                            0
s32382e3fd9  supermicro                                                             Super Micro Computer, Inc.                                                  0
sbebe6af210  apple                                         apple                    Apple, Inc.                                                                 1
s79a543bcca  apple                                         apple                    Apple, Inc.                                                                 1
s7c84031fa1  hd home run                                   silicondust              Silicondust Engineering Ltd                                                 0
s57fe893b0a  yeelight                                      xiaomi                   Xiaomi Communications Co Ltd                                                0
s9021216c30  xiaomi                                        xiaomi                   Xiaomi Communications Co Ltd                                                1
se091c343cd  apple                                         apple                    Apple, Inc.                                                                 1
sfc65172e43  sonos                                         sonos                    Sonos, Inc.                                                                 1
s7b30d60e1b  nintendo                                      nintendo                 Nintendo Co.,Ltd                                                            1
s71f36a94d4  ubiquiti                                      ubiquiti                 Ubiquiti Networks Inc.                                                      1
se30008e741  ubiquiti                                      ubiquiti                 Ubiquiti Networks Inc.                                                      1
s2a6b6a6844  sensorist                                                              Sensorist ApS                                                               0
s853323e32d  philips                                       philips                  Philips Lighting BV                                                         1
se3412dbcbf  ooma                                          ooma                     Ooma, Inc.                                                                  1
saf39466ceb  hp                                            sony                     Hon Hai Precision Ind. Co.,Ltd.                                             0
sdb6640d1c0  ring                                          ring                     Texas Instruments                                                           1
s119a71dc62  chumby                                        philips                  AboCom                                                                      0
sf29f903513  tivo                                          samsung                  Samsung Electronics Co.,Ltd                                                 0
s1ae82c30ce  raspberry pi foundation                       raspberry pi             Raspberry Pi Foundation                                                     0
s996e94ba77  apple                                         apple                    Apple, Inc.                                                                 1
sbabe01065b  apple                                         apple                    Apple, Inc.                                                                 1
s77133347e5  sony                                          sony                     Liteon Technology Corporation                                               1
sd782b74af1  samsung                                       samsung                  Samsung Electronics Co.,Ltd                                                 1
s706abb49a8  raspberry pi                                  raspberry pi             Raspberry Pi Foundation                                                     1
s4cc237a640  sony                                          sony                     Liteon Technology Corporation                                               1
s155c440c2e  apple                                         apple                    Apple, Inc.                                                                 1
sb6eb742ad1  apple                                         apple                    Apple, Inc.                                                                 1
sbd5835d283  apple                                         apple                    Apple, Inc.                                                                 1
sf9361cbca7  apple                                         apple                    Apple, Inc.                                                                 1
see8532b270  ikea                                          ikea                     Murata Manufacturing Co., Ltd.                                              1
s4680174741  apple                                         apple                    Apple, Inc.                                                                 1
sa7493de8f4  nintendo                                      nintendo                 Nintendo Co.,Ltd                                                            1
s74427f7a83  apple                                         apple                    Apple, Inc.                                                                 1
se87893e862  apple                                         apple                    Apple, Inc.                                                                 1
s3736da2ee0  apple                                         apple                    Apple, Inc.                                                                 1
sbc8dbd1e80  apple                                         apple                    Apple, Inc.                                                                 1
s58607369a5  apple                                         apple                    Apple, Inc.                                                                 1
sb086ef24dd  samsung                                       samsung                  Samsung Electronics Co.,Ltd                                                 1
sd20979cec1  asus                                          apple                    Apple, Inc.                                                                 0
saded529098  amazon                                        amazon                   Amazon Technologies Inc.                                                    1
sdc3d00cbd3  wyzecam                                       wyze                     IEEE Registration Authority                                                 0
s20d607f1e0  samsung                                       samsung                  Samsung Electronics Co.,Ltd                                                 1
sc6f6c6e5cc  brother                                       sony                     Hon Hai Precision Ind. Co.,Ltd.                                             0
sf1880c74e2  d-link                                        d-link                   D-Link International                                                        1
s1e84bc238f  amazon                                        amazon                   Amazon Technologies Inc.                                                    1
s2d0a4d3c75  amazon                                        amazon                   Amazon Technologies Inc.                                                    1
s28eb399b5b  apple                                         apple                    Apple, Inc.                                                                 1
s2dad454176  apple                                         apple                    Apple, Inc.                                                                 1
s602e656594  apple                                         apple                    Apple, Inc.                                                                 1
s7cc099fb44  sma                                                                    SMA REGELSYSTEME GMBH                                                       0
se2184b2153  apple                                         apple                    Apple, Inc.                                                                 1
sf0040cedea  sonos                                         sonos                    Sonos, Inc.                                                                 1
s1a79785a28  sonos                                         sonos                    Sonos, Inc.                                                                 1
sa1477052d1  sonos                                         sonos                    Sonos, Inc.                                                                 1
se9908c130a  sony                                          sony                     Hon Hai Precision Ind. Co.,Ltd.                                             1
s7c31585130  sonos                                         sonos                    Sonos, Inc.                                                                 1
se3f84bfb22  phillips                                      philips                  Philips Lighting BV                                                         0
