device_id    expected_vendor                               inferred_vendor            is_same
s312f0816f1  apple                                         apple                            1
s38aaa5deb9  epson                                         epson                            1
s5efe068e58  apple                                         apple                            1
sb3c6724023  philips                                       philips                          1
s4d6e2ce6b9  apple                                         apple                            1
sb65d7ce032  apple                                         apple                            1
s860724ec30  apple                                         apple                            1
s862a714865  samsung                                       samsung                          1
s13ac430669  netgear                                       netgear                          1
se811db50e8  brother                                       brother                          1
se73f502e75  apple                                         apple                            1
s5d26945643  apple                                         apple                            1
sc249cefa45  apple                                         apple                            1
sfe8262639f  apple                                         apple                            1
s086b0cddb3  vantage                                       apple                            0
s76460c00eb  apple                                         apple                            1
sa38699ac7e  apple                                         apple                            1
s78ca73a5ea  siemens                                       siemens                          1
s55071353f8  insteon                                       apple                            0
sd9a8eb92c9  apple                                         apple                            1
s65fa01b0fd  apple                                         apple                            1
s090a89972b  apple                                         apple                            1
s99a98cb76d  hewlet-packard                                brother                          0
scf493db745  idevices                                      idevices                         1
sea70a4cbba  sony                                          sony                             1
s2e10af6df5  surepet                                       heatmiser                        0
sdd6a9f5bb9  apple                                         apple                            1
se8d99f14e2  apple                                         apple                            1
s38f6b92b0e  silicondust                                   silicondust                      1
sfd2269b967  plex                                          microsoft                        0
s5817d96b58  apple                                         apple                            1
sffea60252d  apple                                         apple                            1
saab4d7b48f  apple                                         apple                            1
s41aac6ad48  apple                                         apple                            1
sa436764d56  apple                                         apple                            1
sd411f7e2a7  linksys                                       belkin                           0
s0cf63b4fb4  hp                                            hp                               1
sf564a89fab  sony                                          august                           0
s858aabf164  google                                        google                           1
s7629826931  google                                        google                           1
se4d14c6a30  google                                        google                           1
s157b95d71e  sony                                          august                           0
s1c4bab4fec  linksys                                       belkin                           0
sba3720c4b0  samsung                                       samsung                          1
sb8221cc21d  google                                        google                           1
s28f052ef5a  apple                                         apple                            1
sbcc40895ba  arris                                         arris                            1
s2d2384a404  etmars                                        amazon                           0
s5bbe4f887e  apple                                         apple                            1
sc2fd028815  apple                                         apple                            1
s58d4513038  drobo                                         drobo                            1
saf0ebd0d62  tcl                                           tcl                              1
sa3e07e408e  tcl                                           tcl                              1
saf8f0b869f  epson                                         epson                            1
s8bfe48708e  unknown                                       apple                            0
scad7b6109b  hikvision                                     hikvision                        1
s833c1d822f  vmware                                        lenovo                           0
s65d1f583ab  netgear                                       netgear                          1
s8473f9accf  dauha                                         dahua                            1
sb58659b3a1  tp-link                                       tp-link                          1
se8c6885de7  cisco                                         cisco                            1
s372d32c353  apple                                         apple                            1
s0fe1c54332  hikvision                                     roku                             0
sc258405904  dauha                                         dahua                            1
s5ef7886e93  apple                                         apple                            1
s8157f36b7e  tp-link                                       tp-link                          1
sd21752391f  tplink                                        tp-link                          1
sf76450d1fb  apple                                         apple                            1
s3b1a4d8b2e  tplink                                        tp-link                          1
sb7b6bb039a  apple                                         apple                            1
s77589134bc  bowers and wilkins                            bowers and wilkins               1
s7e4a1870d2  pioneer                                       apple                            0
sa0f2bf9ea9  apple                                         apple                            1
sb441405777  apple                                         apple                            1
s306ee2590c  bowers and wilkins                            bowers and wilkins               1
sfb0ff1d1ec  denon                                         denon                            1
scd23aea7c1  google                                        google                           1
sa44bfb0de0  sony                                          sony                             1
sb8bda37704  amazon                                        amazon                           1
s8569bdb34d  nintendo                                      nintendo                         1
s0a9710f98f  avm                                           apple                            0
s45f334ac8a  sky                                           sky                              1
sfdfb4a225b  samsung                                       samsung                          1
se1af9957f2  google                                        google                           1
s5fc4d59bbf  tcl                                           tcl                              1
seb9b02228a  tcl                                           tcl                              1
sd9137cfd78  avm                                           apple                            0
s6ecccfa674  apple                                         apple                            1
sb3d17b0f60  brother                                       brother                          1
s782f2f5594  apple                                         apple                            1
sca673b463a  cisco                                         apple                            0
s470e1996f4  kuman                                         espressif                        0
s756069b565  enerwave                                      espressif                        0
sbab962cabf  kuman                                         apple                            0
sc203051aec  netgear                                       apple                            0
s0e53bb1e7e  apple                                         apple                            1
s938f803513  apple                                         apple                            1
s90965630c4  apple                                         apple                            1
sd908f6dc75  apple                                         apple                            1
sf7947b2406  apple                                         apple                            1
s2c9fde6219  apple                                         apple                            1
s466cd12561  apple                                         apple                            1
s7ccbba7065  apple                                         apple                            1
sc3450de6dc  hewlett packard                               hp                               0
sac9d6fd7ea  sony                                          brother                          0
s14f40e8818  dreamscreen                                   apple                            0
s424e02bc5c  raspberrypi                                   raspberry pi                     1
s7e23963f8b  apple                                         apple                            1
s13ed06ab35  brother                                       apple                            0
sdec93f9467  google                                        apple                            0
sc3008b55c0  synology                                      synology                         1
sfb4a621963  apple                                         apple                            1
s0c3f4e4dea  vizio                                         vizio                            1
sf5ae9f5a5c  ecobee                                        ecobee                           1
s51ab79bcba  cisco                                         cisco                            1
s23aacbb6b4  apple                                         apple                            1
s5f8d26d586  apple                                         apple                            1
s75b841ca29  apple                                         apple                            1
sbf8f0d21e3  wyze                                          apple                            0
sa2c629c1d0  dell                                          lenovo                           0
s3591c73a98  roku                                          apple                            0
sf99516fdc1  apple                                         apple                            1
sf24f21d7d0  apple                                         apple                            1
sde8fbc3eb8  apple                                         apple                            1
s4a8a46f304  apple                                         apple                            1
s7520507745  apple                                         apple                            1
scac268987d  apple                                         apple                            1
sb4896b5e71  apple                                         apple                            1
sa6c17bf3a4  lifx                                          lifx                             1
s9cee894d7f  netgear                                       netgear                          1
sbd8043e372  apple                                         apple                            1
s2d7cacf6b5  netgear                                       netgear                          1
se6a9df5b52  apple                                         apple                            1
s64af2ec379  apple                                         apple                            1
s3d07957e5b  netgear                                       netgear                          1
s04a2bcc751  rachio                                        ikea                             0
sbaab9ee12a  netgear                                       apple                            0
s475171fbc6  apple                                         apple                            1
sa60ad15572  apple                                         apple                            1
saadd391c33  apple                                         apple                            1
s9621d9b7b6  google                                        google                           1
s5c4383c923  apple                                         apple                            1
s5c1a07b3b1  apple                                         apple                            1
s3f8eac0eac  seagate                                       apple                            0
s1126d1c50d  onkyo                                         onkyo                            1
s38a391eba8  arris                                         arris                            1
s71136db904  samsung                                       samsung                          1
s316ded5d91  lg electoronics                               lg electronics                   1
s03a5113a7c  logitech                                      logitech                         1
sc75defe647  ecobee                                        ecobee                           1
sf17905003a  tp-link                                       tp-link                          1
s0b25b153b7  apple                                         apple                            1
sff2c84545a  tp-link                                       tp-link                          1
s2b0de11b59  smart life                                    espressif                        0
sc74d930fcc  apple                                         apple                            1
s9885cc05a7  lexmark                                       apple                            0
s7c2e22a2d3  denon                                         denon                            1
s0db38535c4  google                                        google                           1
s73d0e60899  apple                                         apple                            1
s0fd584c5be  apple                                         apple                            1
s56fe7a51b3  hikvision                                     hikvision                        1
sbd1156797d  sonoff                                        espressif                        0
sd106f7bfad  sonoff                                        espressif                        0
sb6f5f6a14b  sonoff                                        espressif                        0
sccdd884e15  espressif                                     espressif                        1
